match_id,competition_id,season_id,stage,matchday,date,kickoff,venue_id,home_team_id,away_team_id,home_goals,away_goals,status,awarded_note,source_type,source_ref,reported_by,reported_at,confidence,verified_by,verified_at,extra_time,home_pens,away_pens,referee,assistant_referee_1,assistant_referee_2,fourth_official,home_coach,away_coach,referee_id,assistant_referee_1_id,assistant_referee_2_id,fourth_official_id,home_coach_id,away_coach_id
MW_NDL_2627_013,MW_NDL,MW_2026_27,md_3,3,2026-05-30,,MW_RU_001,MW_MCH_M1,MW_EU_M1,0,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_014,MW_NDL,MW_2026_27,md_3,3,2026-05-30,,MW_KAR_001,MW_SBU_M1,MW_BAS_M1,2,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_015,MW_NDL,MW_2026_27,md_3,3,2026-05-30,,MW_Z_001,MW_CB_M1,MW_NS_M1,2,4,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_016,MW_NDL,MW_2026_27,md_3,3,2026-05-31,,MW_MU_001,MW_FFC_M1,MW_MT_M1,1,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_017,MW_NDL,MW_2026_27,md_3,3,2026-05-31,,MW_BAL_001,MW_NU_M1,MW_EXFC_M1,2,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_018,MW_NDL,MW_2026_27,md_3,3,2026-06-07,,MW_MCJ_002,MW_NZ_M1,MW_CBWE_M1,1,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_019,MW_NDL,MW_2026_27,md_4,4,2026-06-12,,MW_B_001,MW_BAS_M1,MW_FFC_M1,1,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_020,MW_NDL,MW_2026_27,md_4,4,2026-06-13,,MW_RU_001,MW_EU_M1,MW_SBU_M1,1,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_021,MW_NDL,MW_2026_27,md_4,4,2026-06-13,,MW_Z_001,MW_MT_M1,MW_NZ_M1,0,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_022,MW_NDL,MW_2026_27,md_4,4,2026-06-13,,MW_B_001,MW_CBWE_M1,MW_CB_M1,2,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_023,MW_NDL,MW_2026_27,md_4,4,2026-06-14,,MW_MCJ_002,MW_EXFC_M1,MW_MCH_M1,3,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_024,MW_NDL,MW_2026_27,md_4,4,2026-06-15,,MW_B_001,MW_NS_M1,MW_NU_M1,0,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_025,MW_NDL,MW_2026_27,md_5,5,2026-06-19,,MW_RU_001,MW_EU_M1,MW_BAS_M1,2,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
