match_id,team_id,player_name,player_id,shirt_number,position,role,captain,motm,minute_on,minute_off,replaced_player,yellow_card,yellow_red_card,red_card
MW_SRFA_2627_087,MW_MS_M1,Chikumbutso Makoloni,CAF_MW_000456,7,,starting,,,,,,,,
MW_SRFA_2627_091,MW_MWU_M1,Jussa Samson,CAF_MW_000732,14,,starting,,,,,,,,
MW_TOP8_2627_011,MW_MW_M1,Zulu,CAF_MW_001089,25,,starting,,,,,,,,
MW_SRFA2_2627_028,MW_LIM_M1,Anock Mwenebanda,CAF_MW_000752,5,DF,starting,,,,,,,,
MW_SL_2627_099,MW_REDL_M1,S. Banda,CAF_MW_000772,18,,starting,,,,,,,,
MW_SL_2627_099,MW_MB_M1,Chisomo Sambani,CAF_MW_000790,73,,starting,,,,,,,,
MW_SL_2627_091,MW_MB_M1,Chisomo Chawanda,CAF_MW_000810,12,,starting,,,,,,1,,
MW_SRFA_2627_096,MW_MWU_M1,Jussa Samson,CAF_MW_000732,14,,starting,,,,,,,,
MW_CRFA_2627_018,MW_MC_M1,Jason Yosophati,CAF_MW_000819,45,,starting,,,,,,,,
MW_TOP8_2627_011,MW_EFC_M1,Rukura,CAF_MW_001099,29,,starting,,,,,,,,
MW_CRFA_2627_018,MW_MV_M1,Hussein Abdul,CAF_MW_000836,20,,starting,,,,,,,,
MW_CRFA2_2627_020,MW_LOBIYS_M1,Luseni Yamikan,CAF_MW_000861,80,,starting,,,,,,,,
MW_NRFA_2627_049,MW_CZU_M1,Laban Longwe,CAF_MW_000902,5,DF,starting,,,,,,,,
MW_SL_2627_082,MW_SS_M1,Levison Maganizo,CAF_MW_000543,,,starting,,,,,,,,
MW_SL_2627_101,MW_KU_M1,Casto Kayuni,CAF_MW_000598,10,,starting,,,,67,,,,
MW_SL_2627_098,MW_SS_M1,Levison Maganizo,CAF_MW_000543,,,starting,,,,,,,,
MW_SL_2627_069,MW_SS_M1,Tatenda M'Balaka,CAF_MW_000542,6,,starting,,,,81,,,,
MW_BDU14_2627_001,MW_HEBW_M1,Clement Shawa,CAF_MW_000564,9,,starting,,,,,,,,
MW_SL_2627_080,MW_SS_M1,Chinsisi Maonga,CAF_MW_000043,,,starting,,,,53,,,,
MW_TOP8_2627_008,MW_SS_M1,Tatenda M'Balaka,CAF_MW_000542,,,starting,,,,63,,,,
MW_KU19_2627_030,MW_BULL_U19,Kelvin Phiri,CAF_MW_000647,,,starting,,,,24,,,,
MW_TOP8_2627_004,MW_SS_M1,Festus Duwe,CAF_MW_000074,,,starting,,,,80,,1,,
MW_SL_2627_060,MW_SS_M1,Tatenda M'Balaka,CAF_MW_000542,,,starting,,,,,,,,
MW_SL_2627_050,MW_SS_M1,Festus Duwe,CAF_MW_000074,,,starting,,,,46,,,,
MW_KU19_2627_030,MW_CCS_MU19,Evance Banda,CAF_MW_000665,,,starting,,,,,,,,
MW_SRFA_2627_090,MW_EFC_M2,Rafael Iman,CAF_MW_000627,,,starting,,,,46,,,,
MW_SL_2627_101,MW_BULL_M1,Yankho Singo,CAF_MW_000493,17,,starting,,,,,,,,
MW_SRFA_2627_090,MW_BULL_M2,Enos Hendeman,CAF_MW_000266,,,starting,,,,72,,,,
MW_SL_2627_039,MW_SS_M1,Levison Maganizo,CAF_MW_000543,46,,starting,,,,,,,,
MW_SL_2627_093,MW_BULL_M1,Yankho Singo,CAF_MW_000493,17,,starting,,,,,,,,
MW_SL_2627_093,MW_CU_M1,Manda Zenga,CAF_MW_000682,8,,starting,,,,46,,,,
MW_SL_2627_041,MW_SS_M1,Levison Maganizo,CAF_MW_000543,46,,starting,,,,,,,,
MW_SL_2627_020,MW_SS_M1,Dan Sandukira,CAF_MW_000553,20,,starting,,,,72,,,,
MW_SRFA_2627_079,MW_LBTY_M1,Blessings Chiku,CAF_MW_000703,,,starting,,,,48,,,,
MW_SRFA_2627_079,MW_BULL_M2,Yankho Phiri,CAF_MW_000621,,,starting,,,,,,,,
MW_SL_2627_092,MW_SS_M1,Levison Maganizo,CAF_MW_000543,,,starting,,,,,,,,
MW_SL_2627_030,MW_SS_M1,Lumbani Nyondo,CAF_MW_000556,19,,starting,,,,63,,,,
MW_SL_2627_011,MW_SS_M1,Mcdonald Lameck,CAF_MW_000169,2,,starting,,,,,,,,
MW_SL_2627_003,MW_SS_M1,Yankho Billiat,CAF_MW_000554,12,,starting,,,,,,,,
MW_SL_2627_086,MW_BULL_M1,Wongani Lungu,CAF_MW_000582,19,,starting,,,,65,,,,
MW_SRFA_2627_087,MW_MS_M1,Chisomo Dama,CAF_MW_000719,10,,starting,,,,,,,,
MW_SRFA_2627_091,MW_MWU_M1,Martin Khembo,CAF_MW_000733,10,,starting,,,,61,,,,
MW_TOP8_2627_011,MW_MW_M1,Blessings Singini,CAF_MW_000027,8,,starting,,,,72,,,,
MW_SRFA2_2627_028,MW_LIM_M1,Enock Banda,CAF_MW_000753,6,MF,starting,,,,,,,,
MW_SL_2627_099,MW_REDL_M1,F. Banda,CAF_MW_000773,8,,starting,,,,,,,,
MW_SL_2627_099,MW_MB_M1,Charles Nkhoma,CAF_MW_000034,6,,starting,,,,,,,,
MW_SL_2627_091,MW_MB_M1,Charles Nkhoma,CAF_MW_000034,6,,starting,,,,,,,,
MW_SRFA_2627_096,MW_MWU_M1,Martin Khembo,CAF_MW_000733,10,,starting,,,,,,,,
MW_CRFA_2627_018,MW_MC_M1,Gift Nyumayo,CAF_MW_000820,30,,starting,,,,,,,,
MW_TOP8_2627_011,MW_EFC_M1,Salawira,CAF_MW_001100,4,,starting,,,,,,,,
MW_CRFA_2627_018,MW_MV_M1,Horace Banda,CAF_MW_000837,14,,starting,,,,,,,,
MW_CRFA2_2627_020,MW_LOBIYS_M1,Brino Banda,CAF_MW_000862,15,,starting,,,,,,,,
MW_NRFA_2627_049,MW_CZU_M1,Steven Phiri,CAF_MW_000452,98,MF,starting,,1,,,,,,
MW_SL_2627_082,MW_SS_M1,Zebron Kalima,CAF_MW_000353,,,starting,,,,,,,,
MW_SL_2627_101,MW_KU_M1,Erick Mandanda,CAF_MW_000599,12,,starting,,,,67,,,,
MW_SL_2627_098,MW_SS_M1,Zebron Kalima,CAF_MW_000353,,,starting,,,,87,,,,
MW_SL_2627_069,MW_SS_M1,Ernest Petro,CAF_MW_000071,17,,starting,,,,71,,,,
MW_BDU14_2627_001,MW_HEBW_M1,Praise Macholowe,CAF_MW_000558,14,,starting,,,,,,,,
MW_SL_2627_080,MW_SS_M1,Levison Maganizo,CAF_MW_000543,,,starting,,,,,,,,
MW_TOP8_2627_008,MW_SS_M1,Zebron Kalima,CAF_MW_000353,,,starting,,,,78,,,,
MW_KU19_2627_030,MW_BULL_U19,Hassan Madula,CAF_MW_000648,,,starting,1,,,,,1,,
MW_TOP8_2627_004,MW_SS_M1,Uchizi Vunga,CAF_MW_000575,,,starting,,,,,,,,
MW_SL_2627_060,MW_SS_M1,Zebron Kalima,CAF_MW_000353,,,starting,1,,,84,,,,
MW_KU19_2627_030,MW_CCS_MU19,Blessings Chimwaza,CAF_MW_000666,,,starting,,,,,,,,
